Economy_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value
Albania,,,,5.01,5.48,5.48,5.04,5.19,6.23,6.28,11.35,12.93,12.78,12.12,13.13,10.31,14.98,10.21,10.21,10.21,10.21,14.42,12.91,12.31,12.31,16.54,16.94,12.7,15.57,16.05,17.86,14.03,17.41,12.74,16.04,16.35,16.08,16.76,16.73,16.72,17.09,13.58,17.53,17.86,18.77,16.57,14.98,14.31,14.29,8.49,14.51,15.02,15.11,14.47,19.52,19.52,18.37,18.36,14.34,14.34,14.58,14.58,15.03,15.02,13.67,12.76,12.75,11.97,11.97,11.98,11.98,13.24,12.78,12.39,13.53,12.39,14.22,14.2,14.2
Algeria,59.7,61.43,61.83,63.24,52.51,55.39,56.76,56.46,57.62,61.6,63.8,63.87,64.45,64.27,59.47,59.23,62.08,63.85,65.4,64.79,60.95,62.96,57.93,58.76,53.37,54.26,55.66,55.11,53.61,56.45,60.93,54.81,59.01,62.45,66.54,66.1,74.96,73.05,70.5,74.17,77.16,77.67,76.19,76.76,73.04,68.13,68.57,71.27,71.06,72.26,72.61,69.93,64.58,67.78,72.21,73.24,69.43,68.65,71.43,68.06,67.37,64.49,64.03,62.91,61.06,55.7,61.29,61.35,62.35,63.24,65.88,69.74,71.2,72.49,72.94,67.95,69.1,70.36,70.39
American Samoa,31.73,31.72,41.08,38.53,37.86,37.86,38.55,33.63,33.63,34.51,31.38,30.77,30.02,30.02,22.85,22.85,22.85,20.77,20.07,20.07,19.98,21.97,19.54,19.54,19.54,20.1,20.1,19.42,19.42,19.42,23.73,23.73,21.85,20.81,20.81,23.94,23.94,23.94,23.93,24.71,25.4,22.9,25.3,25.32,25.4,25.4,25.6,25.6,25.86,25.84,25.81,25.73,25.73,25.74,25.74,27.09,28.66,28.66,28.66,28.38,28.39,28.39,28.31,28.23,28.24,28.24,28.24,28.24,29.75,29.03,28.28,27.9,27.98,27.38,26.17,26.16,26.16,26.31,26.33
Angola,61.54,63.25,65.2,63.83,60.48,63.17,62.73,66.55,67.7,69.63,62.55,67.16,73.41,73.35,79.06,79.09,74.6,73.06,75.76,73.61,73.44,73.41,69.73,69.39,67.36,72.3,76.91,79.83,80.11,79.67,81.08,79.61,84.86,82.65,79.53,77.2,75.67,73.97,74.48,74.26,82.42,78.98,77.67,76.18,76.41,69.74,68.86,70.48,69.47,70.42,66.86,62.72,61.76,69.74,69.43,73.73,69.35,64.62,67.18,56.75,56.76,55.99,56.13,55.51,54.82,54.76,55.97,56.36,56.41,56.44,56.4,56.43,56.48,59.48,60.34,62.07,66.37,66.34,64.85
Anguilla,7.73,6.9,,,,9.66,9.66,,,,,,,,,,,,,7.98,,,,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,10.32,15.92,18.31,18.31,18.27,18.31,18.31,18.31,18.3,18.3,18.3,18.3,18.3,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,,,,,,,,,,,,,,,,
Antigua and Barbuda,22.93,24.65,24.66,24.66,24.66,24.66,27.58,26.12,27.17,25.14,25.14,25.14,25.14,25.25,25.25,25.25,25.14,25.14,25.14,22.31,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,23.95,23.95,25.82,25.82,26.03,26.03,26.03,23.67,24.26,24.28,20.7,20.11,20.11,14.54,14.54,14.54,15.53,15.53,19.03,19.03,19.03,15.53,15.53,15.53,14.85,19.04,19.1,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.45,19.12,26.07,26.08,26.07,26.07,26.13,26.14,26.14,26.14,26.14,26.15,26.15,26.15,26.15,26.15,26.15
Argentina,116.64,114.39,111.68,109.27,105.99,107.57,106.61,106.94,111.32,114.8,117.08,117.35,114.64,107.57,107.6,107.56,110.42,113.34,112.44,113.94,112.3,113.3,104,106.94,103.87,103.39,108.61,113.18,112.64,117.99,112.36,110.67,113.13,119.33,115.86,113.14,112.55,111.77,101.48,97.57,101.04,107.07,107.05,104.21,101.87,105,105,105.04,105.25,104.15,109.05,105.16,99.67,101.44,101.48,103.29,96.12,101.13,97.03,97.09,96.61,99.43,97.84,96.59,101.62,100.34,99.01,98.99,98.52,100.83,101.82,100.98,104.32,105.01,100.15,99.41,105.5,107.91,110.23
Aruba,27.6,30.64,23.22,23.23,25.27,24.79,26.97,26.98,27.36,27.36,25.79,24.71,24.71,26.9,28,28,29.44,33.77,34.45,34.47,38.93,38.24,37.09,29.53,32.07,33.07,34.2,30.33,32,30.84,30.85,30.86,28.6,29.22,29.22,30.3,29.63,29.64,27.68,28.33,32.41,33.58,27.89,24.76,23.63,23.63,24.31,30.65,30.66,32.55,33.3,32.62,32.92,30.71,30.16,26.1,28.98,28.97,28.84,31.5,31.5,31.11,26.54,22.41,21.76,21.76,21.42,19.47,19.49,18.76,17.6,18.11,18.85,20.87,22.71,21.27,18.39,18.39,17.98
Australia,139.19,141.65,142,140.77,141.92,146.75,146.7,147.48,152.36,157.76,161.46,156,151.48,150.21,143.99,146.99,145.51,148.77,154.83,160.15,157.96,156.65,157.76,150.75,147.94,145.85,145.08,149.16,152.48,146.55,152.02,154.94,156.48,159.43,158.4,162.02,159.19,153.81,154.8,155.92,157.43,154.7,156.62,157.56,148.41,142.96,147.4,145.21,142.54,146.37,145.81,145.08,146.34,150.45,144.5,141.17,138.6,137.95,140.08,145.11,148.55,147.54,145.15,145.81,148.35,150.46,148.54,150.88,148.75,152.05,153.12,147.03,144.14,143.5,139.61,141.38,142.72,142.37,141.19
Bahamas,58.07,53.48,53.32,53.38,54.29,57.71,57.56,61.8,59,56.56,59.07,59.22,58.17,59.76,60.4,63.64,70.58,71.3,70.84,69.25,69.89,70.07,63.42,67.64,66.57,63.7,65.7,68.38,68.44,69.11,65.24,65.3,64.98,66.01,71.03,71.76,73.01,67.96,68.06,72.17,74.59,75.54,79.58,80.54,75.14,79.27,75.82,75.8,72.57,72.68,70.27,70.54,73.19,79.11,85.17,81.99,84.83,73.96,76.84,83.51,87.9,93.12,92.87,81.33,79.9,77.33,82.49,78.87,79.11,82.04,82.27,81.81,86.64,89.89,87.77,87.22,70.48,69.75,82.51
